key,summary,issueType,status,priority,assignee,reporter,labels,resolution,storyPoints,created,updated,resolutionDate
CX-3419,Vendor Invite flow shows child account properties in property selection dropdown,Bug,Done,Medium,Vysakh R J,Srilakshmi Sivan,VendorRegistration,Done,,2026-05-27T19:07:09.078+0530,2026-06-03T18:23:53.948+0530,2026-06-03T18:23:53.925+0530
CX-3420,"Incorrect Subject, Missing KYB Content, and Footer Mismatch in Vendor Invitation Email",Bug,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-05-27T19:21:31.697+0530,2026-06-10T14:55:14.740+0530,2026-06-10T14:55:14.711+0530
CX-3421,“Invite” button is enabled before completing all required fields,Bug,Done,Medium,rameshpr,Shini,VendotInvite,Done,,2026-05-27T20:29:04.015+0530,2026-06-01T12:49:48.728+0530,2026-06-01T12:49:48.702+0530
CX-3422,“Services Requiring Insurance” field is not auto-populating selected services in Confirm Vendor Details page,Bug,Done,Medium,Rakhesh J,Shini,VendotInvite,Done,,2026-05-27T20:38:48.587+0530,2026-06-01T17:50:01.216+0530,2026-06-01T17:50:01.198+0530
CX-3424,Incorrect vendor status displayed after sending invitation,Bug,Done,Medium,rameshpr,Shini,VendotInvite,Done,,2026-05-27T20:56:54.961+0530,2026-06-03T23:21:05.353+0530,2026-06-03T23:21:05.328+0530
CX-3428,Preferred Vendors Added for Newly Created Client Not Reflected in Client Vendor Module,Bug,Done,Medium,Vysakh R J,Srilakshmi Sivan,VendorRegistration,Done,,2026-05-29T10:18:56.100+0530,2026-06-11T19:20:26.443+0530,2026-06-11T19:20:26.419+0530
CX-3429,Phone Number Field Allows More Than 10 Digits in Vendor Invite Flow even though validation is present,Bug,Done,Medium,rameshpr,Srilakshmi Sivan,VendorRegistration,Done,,2026-05-29T10:59:55.907+0530,2026-06-01T14:15:03.085+0530,2026-06-01T14:15:03.066+0530
CX-3430,Resent Invitation Link Displays Non-User-Friendly Error Message for Previous Invite Link,Bug,Done,Medium,ajay.dev,Srilakshmi Sivan,VendorRegistration,Done,,2026-05-29T11:15:26.170+0530,2026-06-15T18:28:35.019+0530,2026-06-15T18:28:34.991+0530
CX-3431,Phone number added through Vendor Invite shows undefined in the Vendor Profile contact list.,Bug,Done,Medium,Rakhesh J,Shini,VendotInvite,Done,,2026-05-29T11:37:33.955+0530,2026-06-15T09:25:09.545+0530,2026-06-15T09:25:09.516+0530
CX-3432,KYB Verification option should be hidden if the vendor is not yet invited.,Bug,Done,Medium,rameshpr,Shini,VendotInvite,Done,,2026-05-29T11:42:52.244+0530,2026-06-03T22:55:39.619+0530,2026-06-03T22:55:39.598+0530
CX-3433,UI Inconsistency in Vendor Registration Form -Consent Form– Informative Box Missing,Bug,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-05-29T12:16:56.340+0530,2026-06-15T19:08:43.375+0530,2026-06-15T19:08:43.353+0530
CX-3434,Services dropdown should display options in alphabetical order.,Bug,Done,Medium,rameshpr,Shini,VendotInvite,Done,,2026-05-29T12:49:16.990+0530,2026-06-01T12:56:31.849+0530,2026-06-01T12:56:31.820+0530
CX-3435,Deactivated Vendors Displayed in Vendor Invite Flow,Bug,Done,Medium,rameshpr,Srilakshmi Sivan,VendorRegistration,Done,,2026-05-29T14:26:22.483+0530,2026-06-08T13:51:26.605+0530,2026-06-08T13:51:26.579+0530
CX-3437,States in the States Serviced Column Not Displayed Correctly When Property Level Coverage is Set to “No”,Bug,Done,Medium,Vysakh R J,Srilakshmi Sivan,VendorRegistration,Done,,2026-05-29T15:02:37.005+0530,2026-06-08T11:57:12.689+0530,2026-06-08T11:57:12.666+0530
CX-3438,System Allows Selection of Already Invited Vendor from Existing Vendor List,Bug,Done,Medium,rameshpr,Srilakshmi Sivan,VendorRegistration,Done,,2026-05-29T15:09:40.014+0530,2026-06-12T14:18:59.096+0530,2026-06-12T14:18:59.074+0530
CX-3439,Vendor Status Management and Action Handling,Task,Done,Medium,rameshpr,Shini,VendotInvite,Done,,2026-05-29T16:17:12.184+0530,2026-06-08T13:20:09.217+0530,2026-06-08T13:20:09.191+0530
CX-3442,"""Invite to Connexus Verify"" Option Not Available for Non-Admin Client Users",Bug,Done,Medium,rameshpr,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-01T13:18:44.608+0530,2026-06-08T11:30:17.688+0530,2026-06-08T11:30:17.667+0530
CX-3456,Unable to continue from Retry option ,Bug,Done,Medium,Vysakh R J,Shini,VendotInvite,Done,,2026-06-01T17:20:48.924+0530,2026-06-03T19:54:55.816+0530,2026-06-03T19:54:55.798+0530
CX-3459,KYB-Verification Page Ui ,Task,Done,Medium,Rakhesh J,Rakhesh J,,Done,,2026-06-02T13:15:40.842+0530,2026-06-15T10:42:05.755+0530,2026-06-15T10:42:05.738+0530
CX-3460,KYB-Verification page api integartion,Task,Done,Medium,Rakhesh J,Rakhesh J,,Done,,2026-06-02T13:17:42.126+0530,2026-06-15T10:42:15.488+0530,2026-06-15T10:42:15.465+0530
CX-3462,Vendor Legal Name is not being validated when sending an invitation for a new vendor using an existing Vendor Legal Name,Bug,Done,Medium,Varun Wilson,Shini,VendotInvite,Done,,2026-06-02T14:54:46.509+0530,2026-06-03T19:35:01.467+0530,2026-06-03T19:35:01.443+0530
CX-3463,ThrottlerException Prevents Complete Data Loading in Vendor Invite Flow,Bug,Done,Medium,Basim E,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-02T15:10:42.387+0530,2026-06-15T10:44:43.500+0530,2026-06-15T10:44:43.477+0530
CX-3466,RFP Notification Emails Failing to Send,Bug,Done,Medium,Vysakh R J,Srilakshmi Sivan,RFP,Done,,2026-06-03T17:21:05.937+0530,2026-06-08T11:26:27.127+0530,2026-06-08T11:26:27.101+0530
CX-3467,Property Search Takes Excessive Time to Return Results for Clients with Large Property Lists,Bug,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-03T18:29:21.928+0530,2026-06-15T19:11:59.254+0530,2026-06-15T19:11:59.236+0530
CX-3468,Verification page is unavailable after resending the invitation and completing the payment process,Bug,Done,Medium,Rakhesh J,Shini,VendotInvite,Done,,2026-06-03T22:34:20.730+0530,2026-06-08T15:34:10.868+0530,2026-06-08T15:34:10.846+0530
CX-3470,Property insurance client Id addition,Task,Done,Medium,Varun Wilson,Nisha C N,,Done,,2026-06-04T12:26:01.315+0530,2026-06-05T10:37:32.569+0530,2026-06-05T10:37:32.544+0530
CX-3472,vendor confirm and vendor verification pages mobile compatibility ,Task,Done,Medium,Rakhesh J,Rakhesh J,,Done,,2026-06-08T10:19:57.248+0530,2026-06-15T10:42:27.112+0530,2026-06-15T10:42:27.096+0530
CX-3474,Phone Extension (EXT) field is missing in the Invite Vendor form,Bug,Done,Medium,Vysakh R J,Shini,VendotInvite,Done,,2026-06-08T16:24:15.059+0530,2026-06-15T09:25:51.380+0530,2026-06-15T09:25:51.352+0530
CX-3475,"""I Have a Valid Website"" Checkbox Is Not Selected by Default during vendor registration",Bug,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-08T16:36:54.260+0530,2026-06-09T10:25:59.793+0530,2026-06-09T10:25:59.762+0530
CX-3476,Retry Screen Allows Editing of primary contact details,Bug,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-08T17:33:08.853+0530,2026-06-10T14:37:05.813+0530,2026-06-10T14:37:05.790+0530
CX-3477,System Allows More Than Three Verification Retry Attempts for Other Company Vendors,Bug,Done,Medium,ajay.dev,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-08T17:39:39.465+0530,2026-06-09T12:47:28.314+0530,2026-06-09T12:47:28.288+0530
CX-3478,Vendor Contact Becomes Active Without Authorization After Vendor Detail Confirmation via Invitation,Bug,Done,Medium,Vysakh R J,Shini,VendotInvite,Done,,2026-06-09T11:14:05.278+0530,2026-06-15T09:24:30.506+0530,2026-06-15T09:24:30.487+0530
CX-3479,Display Exhausted Retry Attempts Message After Maximum Verification Retries Are Reached,Task,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-09T12:35:36.287+0530,2026-06-15T18:47:11.792+0530,2026-06-15T18:47:11.771+0530
CX-3480,or Restrict Access to VendRegistration Form After Verification Retry Attempts Are Exhausted,Task,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-09T13:35:41.101+0530,2026-06-15T18:52:43.735+0530,2026-06-15T18:52:43.709+0530
CX-3482,Update Menu Label from 'Client Vendors' to 'Update Client Vendors',Bug,Done,Medium,rameshpr,Shini,VendorInlineEdit,Done,,2026-06-09T14:13:05.700+0530,2026-06-10T13:17:57.968+0530,2026-06-10T13:17:57.939+0530
CX-3483,User gets stuck on Payment step after network error and cannot proceed with Business Verification,Bug,Done,Medium,Varun Wilson,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-09T14:16:29.661+0530,2026-06-10T14:33:19.079+0530,2026-06-10T14:33:19.054+0530
CX-3485,Unable to Invite Previously Verified Vendor from a Different Client Account,Bug,Done,Medium,Vysakh R J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-09T14:32:26.871+0530,2026-06-15T13:48:53.990+0530,2026-06-15T13:48:53.972+0530
CX-3487,"Incorrect ""Business verification failed"" error displayed after successful business verification",Bug,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-09T20:08:16.039+0530,2026-06-15T10:08:31.833+0530,2026-06-15T10:08:31.809+0530
CX-3488,Verification Failure Email Contains Incorrect Subject and Content,Bug,Done,Medium,ajay.dev,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-09T20:14:28.113+0530,2026-06-15T18:50:52.850+0530,2026-06-15T18:50:52.830+0530
CX-3489,Payment Link Fails for Previously Invited Vendor Invited by a New Client,Bug,Done,Medium,Vysakh R J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-09T20:38:42.556+0530,2026-06-15T18:39:09.290+0530,2026-06-15T18:39:09.267+0530
CX-3490,Missing Validation Message When SSN Is Entered for a Non-Sole Proprietor Business,Bug,Done,Medium,ajay.dev,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-09T20:57:35.371+0530,2026-06-15T18:31:22.368+0530,2026-06-15T18:31:22.348+0530
CX-3491,Vendor registration displays old phone number instead of updated phone number entered during vendor invitation,Bug,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-09T21:08:05.851+0530,2026-06-16T11:43:50.945+0530,2026-06-16T11:43:50.927+0530
CX-3495,Phone Extension Provided During Vendor Invitation Is Not Displayed in the Vendor Confirmation Details Form,Bug,Done,Medium,Rakhesh J,Shini,VendotInvite,Done,,2026-06-10T15:04:46.901+0530,2026-06-15T09:24:48.232+0530,2026-06-15T09:24:48.213+0530
CX-3496,Vendors Display States Serviced from Other Clients Despite No Properties Being Associated with the Current Client,Bug,Done,Medium,Vysakh R J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-10T15:30:22.193+0530,2026-06-15T14:08:44.611+0530,2026-06-15T14:08:44.587+0530
CX-3517,"""Invite Vendor"" Button Disappears After Page Refresh",Bug,Done,Medium,rameshpr,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-11T10:15:50.023+0530,2026-06-15T12:35:34.511+0530,2026-06-15T12:35:34.494+0530
CX-3518,KYB Verification Fails for Company Legal Names Containing Special Characters,Bug,Done,Medium,ajay.dev,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-11T10:24:54.860+0530,2026-06-15T10:33:53.805+0530,2026-06-15T10:33:53.782+0530
CX-3520,Services Are Not Displayed for Preferred and Current Vendors in the Vendors Table,Bug,Done,Medium,Vysakh R J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-11T11:20:25.738+0530,2026-06-17T18:15:11.132+0530,2026-06-17T10:32:36.921+0530
CX-3521,Incorrect Services Displayed for Vendors Invited by Multiple Clients,Bug,Done,Medium,Vysakh R J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-11T11:34:33.005+0530,2026-06-15T14:01:53.644+0530,2026-06-15T14:01:53.620+0530
CX-3522,Vendor invite workflow is restricted by Services permissions,Bug,Done,Medium,rameshpr,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-11T13:48:40.256+0530,2026-06-16T12:33:49.947+0530,2026-06-16T12:33:49.924+0530
CX-3523,Vendor registration fails with phone extension validation error,Bug,Done,Medium,Rakhesh J,Srilakshmi Sivan,VendorRegistration,Done,,2026-06-11T19:43:10.768+0530,2026-06-15T19:14:59.605+0530,2026-06-15T19:14:59.584+0530
CX-3525,Phone EXT field does not allow updating the existing value by selecting and typing a new value,Bug,Done,Medium,Rakhesh J,Shini,VendotInvite,Done,,2026-06-15T09:35:28.662+0530,2026-06-15T18:50:24.945+0530,2026-06-15T18:50:24.923+0530
CX-3528,City field is not auto-populated when SSN Verification Retry page is opened from email link,Bug,Done,Medium,Vysakh R J,Shini,VendotInvite,Done,,2026-06-15T19:48:34.765+0530,2026-06-17T10:14:47.379+0530,2026-06-17T10:14:47.351+0530
CX-3533,Previously Verified Vendors Are Incorrectly Shown a Verification Failure Screen on Reopening the Verification Link,Bug,Done,Medium,ajay.dev,Srilakshmi Sivan,,Done,,2026-06-16T13:05:01.004+0530,2026-06-17T10:20:17.257+0530,2026-06-17T10:20:17.233+0530
